kit_sku,kit_title,product_title,variant_title,product_qty,kit_contents,sales_price,cost_price,weight_grams,product_cost_price
PVC-WALLKIT,PVC Fence /  Wall Kit,"100ft x .5"" black nylon",,1,NYLON100X.5,,20.25,0,19
PVC-WALLKIT,PVC Fence /  Wall Kit,Mini philips self tap - zinc plated for #2 bit,,1,MINIPSELF,,20.25,0,0.99
PVC-WALLKIT,PVC Fence /  Wall Kit,#2 Phillips Driver Bit,,1,PHILIPSBIT,,20.25,0,0.26
PERCH,Purrfect Perch Outdoor Cat Tree,"1 x 6 Cedar (5pc - 12"" with 2 holes, 1pc - 18"" with 2 holes pattern A, 1pc - 18"" with 2 holes patter B)",,1,WOODSETPERCH,,53.59,12,15.78
PERCH,Purrfect Perch Outdoor Cat Tree,"Gate Latch for 1 3/8"" gate to 1 3/8"" post",,1,EAGPERCHSET,,53.59,12,24.5
PERCH,Purrfect Perch Outdoor Cat Tree,"Sleeve for 1 3/8"" Posts",,1,SLEEVE138,,53.59,12,3.28
PERCH,Purrfect Perch Outdoor Cat Tree,Perch Instructions,,1,INS-PERCH,,53.59,12,0
PERCH,Purrfect Perch Outdoor Cat Tree,"46"" Post Half",,1,POST46,,53.59,12,3.86
PERCH,Purrfect Perch Outdoor Cat Tree,"46"" Swaged Post Half",,1,POST46SWAGED,,53.59,12,4.07
PERCH,Purrfect Perch Outdoor Cat Tree,"20"" Post Swage",,1,POST20S,,53.59,12,2.1
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Spring-Loaded Houdini Cat Fence Arm,,12,ARM,,173.02,101.2,2.85
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Conv Sys Shorter Fences Arm Extension Tube,,12,CONVARMEXT,,173.02,101.2,3.4
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Conversion System Arm Mounting Plate,,24,ARMMOUNTINGPLATE,,173.02,101.2,1.42
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),"Set Screw 5/16"" - 18",,25,SETSCREW,,173.02,101.2,0.1
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),6' Height x 100 Poly Fence Roll,,1,FENCE6X100,,173.02,101.2,56.1
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Standard Zip Ties - (100),,2,TIELIGHT,,173.02,101.2,1.01
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Arm to Wall Strap,,2,STRAPAW,,173.02,101.2,0.13
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Hex Wrench for Set Screws,,1,HEXWRENCH,,173.02,101.2,0.39
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Double-Bubble Single Use Epoxy Pack+ Stir Stick,,3,EPOXY-SINGLEUSE,,173.02,101.2,0.89
KIT-SHORTCONV-100,Existing Fence Conversion System for Shorter Fences Kit (100 Feet),Conversion Kit for Shorter Fences Instructions,,1,INS-CKSHORT,,173.02,101.2,0
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Spring-Loaded Houdini Cat Fence Arm,,24,ARM,,343.96,201,2.85
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Conv Sys Shorter Fences Arm Extension Tube,,24,CONVARMEXT,,343.96,201,3.4
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Conversion System Arm Mounting Plate,,48,ARMMOUNTINGPLATE,,343.96,201,1.42
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),"Set Screw 5/16"" - 18",,50,SETSCREW,,343.96,201,0.1
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Standard Zip Ties - (100),,4,TIELIGHT,,343.96,201,1.01
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Arm to Wall Strap,,4,STRAPAW,,343.96,201,0.13
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Hex Wrench for Set Screws,,1,HEXWRENCH,,343.96,201,0.39
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Conversion Kit for Shorter Fences Instructions,,1,INS-CKSHORT,,343.96,201,0
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),6' Height x 100 Poly Fence Roll,,2,FENCE6X100,,343.96,201,56.1
KIT-SHORTCONV-200,Existing Fence Conversion System for Shorter Fences Kit (200 Feet),Epoxy Syringe for 4+ Conv Sys for Shorter Fences,,1,EPOXY-SYRINGE,,343.96,201,3.65
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Spring-Loaded Houdini Cat Fence Arm,,36,ARM,,487,249.8,2.85
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Conv Sys Shorter Fences Arm Extension Tube,,36,CONVARMEXT,,487,249.8,3.4
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Conversion System Arm Mounting Plate,,72,ARMMOUNTINGPLATE,,487,249.8,1.42
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),"Set Screw 5/16"" - 18",,74,SETSCREW,,487,249.8,0.1
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Standard Zip Ties - (100),,6,TIELIGHT,,487,249.8,1.01
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Arm to Wall Strap,,4,STRAPAW,,487,249.8,0.13
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Hex Wrench for Set Screws,,1,HEXWRENCH,,487,249.8,0.39
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Conversion Kit for Shorter Fences Instructions,,1,INS-CKSHORT,,487,249.8,0
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),Epoxy Syringe for 4+ Conv Sys for Shorter Fences,,1,EPOXY-SYRINGE,,487,249.8,3.65
KIT-SHORTCONV-300,Existing Fence Conversion System for Shorter Fences Kit (300 Feet),6' Height x 330 Poly Fence Roll,,1,FENCE6X330,,487,249.8,141.74
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Spring-Loaded Houdini Cat Fence Arm,,48,ARM,,656.6,349.6,2.85
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Conv Sys Shorter Fences Arm Extension Tube,,48,CONVARMEXT,,656.6,349.6,3.4
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Conversion System Arm Mounting Plate,,96,ARMMOUNTINGPLATE,,656.6,349.6,1.42
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),"Set Screw 5/16"" - 18",,98,SETSCREW,,656.6,349.6,0.1
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Standard Zip Ties - (100),,8,TIELIGHT,,656.6,349.6,1.01
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Arm to Wall Strap,,4,STRAPAW,,656.6,349.6,0.13
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Hex Wrench for Set Screws,,1,HEXWRENCH,,656.6,349.6,0.39
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Conversion Kit for Shorter Fences Instructions,,1,INS-CKSHORT,,656.6,349.6,0
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),6' Height x 100 Poly Fence Roll,,1,FENCE6X100,,656.6,349.6,56.1
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),Epoxy Syringe for 4+ Conv Sys for Shorter Fences,,1,EPOXY-SYRINGE,,656.6,349.6,3.65
KIT-SHORTCONV-400,Existing Fence Conversion System for Shorter Fences Kit (400 Feet),6' Height x 330 Poly Fence Roll,,1,FENCE6X330,,656.6,349.6,141.74
